,ID,Source,date,art_type,authors,affiliations,title,keywords,abstract,publisher,doi,citations,Citations per year,Include,ML/DL techniques,Ensemble/stacked models,Spatial,Country,Type of modelling,Pollutant analysed,Output produced,Pollutants considered,Pollutants source,Spatial resolution,Time resolution,Other data,Source of other data,Spatial resolution.1,Time resolution.1,Comments,Accuracy,Feature selection,FS Comments,Optimization,Optimization comments,Transformation,Transformation comments,Decomposition,Decomposition comments,Outlier removal,OR comments,Gap fill,GF comments,geospatial study description
699,2-s2.0-85129733765,Scopus,2022,Article,"Li M., Yang Q., Yuan Q., Zhu L.","School of Geodesy and Geomatics, Wuhan University, Hubei, Wuhan, 430079, China; The Key Laboratory of Geospace Environment and Geodesy, Ministry of Education, Wuhan University, Hubei, Wuhan, 430079, China; School of Atmospheric Sciences and Key Laboratory of Tropical Atmosphere-Ocean System, Sun Yat-sen University, Ministry of Education and Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Guangdong, Zhuhai, 519082, China",Estimation of high spatial resolution ground-level ozone concentrations based on Landsat 8 TIR bands with deep forest model,Deep forest; Ground-level O3; High spatial resolution; Thermal infrared,"In recent years, China has been facing severe ozone (O3) pollution, which poses a remarkable threat to human health. Most estimation methods only provide ozone products at a relatively coarse resolution, such as 5 km, but high-resolution ozone data are essential for ozone pollution prevention and control. To this end, we proposed a new framework for estimating ozone concentrations at 300 m resolution in China based on Landsat 8 infrared (IR) bands and meteorological data using a deep forest (DF) model. DF combines the excellent performance of tree integration with the expressive power of hierarchical distributed representations of neural networks. The accuracy and mapping results of DF are considerably better than some widely used machine learning methods (generalized regression neural regression network and random forest). The sample-based cross-validation (CV), station-based CV, time-based CV, and extrapolation validation show that the estimations of DF are in high agreement with the station observations with determination coefficient values of 0.938, 0.926, 0.687, and 0.660, respectively. The proposed method was used to analyze the spatial and temporal ozone variations at fine scales in three typical Chinese cities (Beijing, Wuhan and Guangzhou), where the mean ozone concentrations during the polluted season are consistent with the land use and urban heat island distribution. The rationality of ozone estimates was verified, and the advantages of high-resolution mapping was demonstrated by comparing the monitoring data from municipal controlling stations in Beijing, 10 km ozone products, and satellite images. Our product can represent spatial details and locate local pollution sources, such as temples. The proposed method has important implications for the fine-scale monitoring of ozone pollution. Â© 2022 Elsevier Ltd",Chemosphere,10.1016/j.chemosphere.2022.134817,8,4,Yes,"DF,LR,LGBM,RF,ANN",,Yes,China,,,,,,,,,,,,,,,,,,,,,,,,,,
733,WOS:000824010700001,WoS,2022,Article,"Kshirsagar, Pravin R.; Manoharan, Hariprasath; Selvarajan, Shitharth; Althubiti, Sara A.; Alenezi, Fayadh; Srivastava, Gautam; Lin, Jerry Chun-Wei","[Kshirsagar, Pravin R.] GH Raisoni Coll Engn, Dept Artificial Intelligence, Nagpur 414008, Maharashtra, India; [Manoharan, Hariprasath] Panimalar Inst Technol, Dept Elect & Commun Engn, Chennai 600123, Tamil Nadu, India; [Selvarajan, Shitharth] Kebri Dehar Univ, Dept Comp Sci & Engn, POB 250, Kebri Dehar, Ethiopia; [Althubiti, Sara A.] Majmaah Univ, Coll Comp & Informat Sci, Dept Comp Sci, Al Majmaah 11952, Saudi Arabia; [Alenezi, Fayadh] Jouf Univ, Coll Engn, Dept Elect Engn, Sakaka 72388, Saudi Arabia; [Srivastava, Gautam] Brandon Univ, Dept Math & Comp Sci, Brandon, MB R7A 6A9, Canada; [Srivastava, Gautam] China Med Univ, Res Ctr Interneural Comp, Taichung 40402, Taiwan; [Lin, Jerry Chun-Wei] Western Norway Univ Appl Sci, Dept Comp Sci Elect Engn & Math Sci, N-5063 Bergen, Norway",A Radical Safety Measure for Identifying Environmental Changes Using Machine Learning Algorithms,air quality; predicting system; environment; air pollution; machine learning techniques,"Due to air pollution, pollutants that harm humans and other species, as well as the environment and natural resources, can be detected in the atmosphere. In real-world applications, the following impurities that are caused due to smog, nicotine, bacteria, yeast, biogas, and carbon dioxide occur uninterruptedly and give rise to unavoidable pollutants. Weather, transportation, and the combustion of fossil fuels are all factors that contribute to air pollution. Uncontrolled fire in parts of grasslands and unmanaged construction projects are two factors that contribute to air pollution. The challenge of assessing contaminated air is critical. Machine learning algorithms are used to forecast the surroundings if any pollution level exceeds the corresponding limit. As a result, in the proposed method air pollution levels are predicted using a machine learning technique where a computer-aided procedure is employed in the process of developing technological aspects to estimate harmful element levels with 99.99% accuracy. Some of the models used to enhance forecasts are Mean Square Error (MSE), Coefficient of Determination Error (CDE), and R Square Error (RSE).",ELECTRONICS,10.3390/electronics11131950,7,4,No,,,,"India,Ethiopia,Saudi Arabia,Canada,Taiwan,Norway",,,,,,,,,,,,,,,,,,,,,,,,,,
738,WOS:000842959500001,WoS,2022,Article,"Yin, Shunchao; Li, Tongwen; Cheng, Xiao; Wu, Jingan","[Yin, Shunchao; Li, Tongwen; Cheng, Xiao; Wu, Jingan] Sun Yat Sen Univ, Sch Geospatial Engn & Sci, Zhuhai, Peoples R China; [Li, Tongwen; Cheng, Xiao; Wu, Jingan] Minist Nat Resources, Key Lab Nat Resources Monitoring Trop & Subtrop Ar, Guangzhou, Peoples R China; [Li, Tongwen] State Key Lab Resources & Environm Informat Syst, Beijing, Peoples R China; [Cheng, Xiao] Southern Marine Sci & Engn Guangdong Lab Zhuhai, Zhuhai, Peoples R China",Remote sensing estimation of surface PM2.5 concentrations using a deep learning model improved by data augmentation and a particle size constraint,PM2.5 remote sensing; High-value underestimation; Deep learning; Data augmentation; Particle size constraint,"Accurate estimation of PM2.5 concentrations is critical to understanding and counteracting air pollution. In the past decade, various machine learning models, especially deep learning models, have been widely used in PM2.5 remote sensing estimation and have achieved remarkable performance. However, a typical pitfall of deep learning models is the problem of high-value underestimation, i.e., the models often underestimate high-level PM2.5 concentrations. Alleviating the problem of high-value underestimation and improving the estimation ac-curacy of high PM2.5 concentrations are crucial. This study developed a new deep learning model that combines data augmentation and a particle size constraint to improve the high-level PM2.5 estimation. Based on the re-sidual neural network (ResNet), this study used random oversampling to construct a data-augmented deep re-sidual learning model (AugResNet). In addition, a deep residual neural network model with a particle size constraint was established and called ConResNet. Then, the data augmentation and particle size constraint were incorporated into the deep residual neural network model (denoted as Aug_ConResNet). We evaluated the above four models across China with the 10-fold site-based cross-validation approach. In terms of the estimation ac-curacy for high PM2.5 concentrations (> 75 mu g/m3), AugResNet (R2 = 0.813, RMSE = 19.152 mu g/m3), ConResNet (R2 = 0.796, RMSE = 20.841 mu g/m(3)) and Aug_ConResNet (R2 = 0.820, RMSE = 18.810 mu g/m3) outperformed ResNet (R2 = 0.780, RMSE = 21.628 mu g/m3). Results showed that the data augmentation and particle size constraint alleviated the problem of high-value underestimation and improved the estimation accuracy for high PM2.5 concentrations. The accurate estimation of high PM2.5 concentrations has important application potential for remote sensing monitoring of polluted weather.",ATMOSPHERIC ENVIRONMENT,10.1016/j.atmosenv.2022.119282,7,4,Yes,RESNN,,No,Peoples R China,,,,,,,,,,,,,,,,,,,,,,,,,,
742,WOS:000600300200001,WoS,2020,Article,"Song, Shiguang; Lam, Jacqueline C. K.; Han, Yang; Li, Victor O. K.","[Song, Shiguang; Lam, Jacqueline C. K.; Han, Yang; Li, Victor O. K.] Univ Hong Kong, Dept Elect & Elect Engn, Hong Kong, Peoples R China; [Li, Victor O. K.] Univ Cambridge, Clare Hall, Cambridge CB3 9AL, England",ResNet-LSTM for Real-Time PM2.5 and PM10 Estimation Using Sequential Smartphone Images,Deep learning; PM2.5 and PM10 estimation; ResNet-LSTM; Met-ResNet-LSTM; ResNet-LSTM-SP; Met-ResNet-LSTM-SP; smartphone-taken images; sequential images; domain-specific knowledge; meteorological features,"Attempts have been made to estimate PM2.5 and PM10 values from smartphone images, given that deploying highly accurate air pollution monitors throughout a city is a highly expensive undertaking. Departing from previous machine learning studies which primarily focus on pollutant estimation based on single day-time images, our proposed deep learning model integrates Residual Network (ResNet) with Long Short-Term Memory (LSTM), extracting spatial-temporal features of sequential images taken from smartphones instead for estimating PM2.5 and PM10 values of a particular location at a particular time. Our methodology is as follows: First, we calibrated two small portable air quality sensors using the reference instruments placed in the official air quality monitoring station, located at Central, Hong Kong (HK). Second, we verified experimentally that any PM2.5 and PM10 values obtained via our calibrated sensors remain constant within a radius of 500 meters. Third, 3024 outdoor day-time and night-time images of the same building were taken and labelled with corresponding PM2.5 and PM10 ground truth values obtained via the calibrated sensors. Fourth, the proposed ResNet-LSTM was constructed and extended by incorporating meteorological information and one short path. Results have shown that, as compared to the best baselines, ResNet-LSTM has achieved 6.56% and 6.74% reduction in MAE and SMAPE for PM2.5 estimation, and 13.25% and 11.03% reduction in MAE and SMAPE for PM10 estimation, respectively. Further, after incorporating domain-specific meteorological features and one short path, Met-ResNet-LSTM-SP has achieved the best performance, with 24.25% and 20.17% reduction in MAE and SMAPE for PM2.5 estimation, and 28.06% and 24.57% reduction in MAE and SMAPE for PM10 estimation, respectively. In future, our deep-learning image-based air pollution estimation study will incorporate sequential images obtained from 24-hr operating traffic surveillance cameras distributed across all parts of the city in HK, to provide full-day and more fine-grained image-based air pollution estimation for the city.",IEEE ACCESS,10.1109/access.2020.3042278,16,4,No,,,,"Peoples R China,England",,,,,,,,,,,,,,,,,,,,,,,,,,
746,WOS:000624393800007,WoS,2021,Article,"Zheng, Zhonghua; Curtis, Jeffrey H.; Yao, Yu; Gasparik, Jessica T.; Anantharaj, Valentine G.; Zhao, Lei; West, Matthew; Riemer, Nicole","[Zheng, Zhonghua; Zhao, Lei] Univ Illinois, Dept Civil & Environm Engn, Urbana, IL 61801 USA; [Curtis, Jeffrey H.; Yao, Yu; Gasparik, Jessica T.; Riemer, Nicole] Univ Illinois, Dept Atmospher Sci, Urbana, IL 61801 USA; [Curtis, Jeffrey H.; West, Matthew] Univ Illinois, Dept Mech Sci & Engn, Urbana, IL USA; [Anantharaj, Valentine G.] Oak Ridge Natl Lab, Natl Ctr Computat Sci, Oak Ridge, TN USA; [Zhao, Lei] Univ Illinois, Natl Ctr Supercomp Applicat, Urbana, IL USA",Estimating Submicron Aerosol Mixing State at the Global Scale With Machine Learning and Earth System Modeling,,"This study integrates machine learning and particle-resolved aerosol simulations to develop emulators that predict submicron aerosol mixing state indices from the Earth system model (ESM) simulations. The emulators predict aerosol mixing state using only quantities that are predicted by the ESM, including bulk aerosol species concentrations, which do not by themselves carry mixing state information. We used PartMC-MOSAIC as the particle-resolved model and NCAR's CESM as the ESM. We trained emulators for three different mixing state indices for submicron aerosol in terms of chemical species abundance (chi(a)), the mixing of optically absorbing and nonabsorbing species (chi(o)), and the mixing of hygroscopic and nonhygroscopic species (chi(h)). Our global mixing state maps show considerable spatial and seasonal variability unique to each mixing state index. Seasonal averages varied spatially between 13% and 94% for chi(a), between 38% and 94% for chi(o), and between 20% and 87% for chi(h) with global annual averages of 67%, 68%, and 56%, respectively. High values in one index can be consistent with low values in another index depending on the grouping of species and their relative abundance, meaning that each mixing state index captures different aspects of the population mixing state. Although a direct validation with observational data has not been possible yet, our results are consistent with mixing state index values derived from ambient observations. This work is a prototypical example of using machine learning emulators to add information to ESM simulations. Plain Language Summary Earth system models (ESMs) simulations are computationally expensive, requiring highly simplified representations of aerosol mixing state, a property that describes how different aerosol chemical species are distributed among and within the aerosol particles. The assumption of whether aerosols are internally (multiple species within a particle), externally (one species per single particle), or intermediately mixed greatly influences the properties of aerosol particles and thereby the prediction of the impacts of air pollution on human health and climate change. We built simplified models using machine learning and highly detailed particle-resolved simulations to infer submicron aerosol mixing state from meteorological parameters and pollution levels. These emulators enable us to estimate the degree of aerosol mixing state at a global scale using information that ESMs track. This study provides an example of the integration of detailed aerosol process modeling and a largescale ESM via machine learning.",EARTH AND SPACE SCIENCE,10.1029/2020ea001500,11,4,No,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,
747,WOS:000819087000001,WoS,2022,Article,"Lai, Wei-In; Chen, Yung-Yu; Sun, Jia-Hong","[Lai, Wei-In] Natl Taiwan Univ, Inst Appl Mech, Taipei 106, Taiwan; [Chen, Yung-Yu] Tatung Univ, Dept Mech & Mat Engn, Taipei 104, Taiwan; [Sun, Jia-Hong] Chang Gung Univ, Dept Mech Engn, Taoyuan 333, Taiwan",Ensemble Machine Learning Model for Accurate Air Pollution Detection Using Commercial Gas Sensors,AI; RNN; IoT; ensemble model; model retraining; CO gas detecting; O-3 gas detecting; NO2 gas detecting,"This paper presents the results on developing an ensemble machine learning model to combine commercial gas sensors for accurate concentration detection. Commercial gas sensors have the low-cost advantage and become key components of IoT devices in atmospheric condition monitoring. However, their native coarse resolution and poor selectivity limit their performance. Thus, we adopted recurrent neural network (RNN) models to extract the time-series concentration data characteristics and improve the detection accuracy. Firstly, four types of RNN models, LSTM and GRU, Bi-LSTM, and Bi-GRU, were optimized to define the best-performance single weak models for CO, O-3, and NO2 gases, respectively. Next, ensemble models which integrate multiple single weak models with a dynamic model were defined and trained. The testing results show that the ensemble models perform better than the single weak models. Further, a retraining procedure was proposed to make the ensemble model more flexible to adapt to environmental conditions. The significantly improved determination coefficients show that the retraining helps the ensemble models maintain long-term stable sensing performance in an atmospheric environment. The result can serve as an essential reference for the applications of IoT devices with commercial gas sensors in environment condition monitoring.",SENSORS,10.3390/s22124393,7,4,No,,,,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,
753,WOS:000701178700004,WoS,2021,Article,"Du, Zongjuan; Heng, Jiani; Niu, Mingfei; Sun, Shaolong","[Du, Zongjuan; Niu, Mingfei] Lanzhou Univ, Sch Math & Stat, Lanzhou 730000, Peoples R China; [Heng, Jiani] Chinese Acad Sci, Acad Math & Syst Sci, Beijing 100190, Peoples R China; [Sun, Shaolong] Xi An Jiao Tong Univ, Sch Management, Xian 710049, Peoples R China",An innovative ensemble learning air pollution early-warning system for China based on incremental extreme learning machine,Air quality early-warning system; Length-changeable incremental extreme; learning machine; Hybrid ensemble model; Fuzzy evaluation,"Air pollution has lots of adverse effects on industrial production and public life. Thus, it is an urgent task to construct an efficient air quality early-warning system to guide public life and production. This paper proposes an innovative air pollution early-warning system, including four main modules: clustering, preprocessing, forecasting and evaluation. In the clustering module, with the aim of building an efficient air pollution warning system, the air pollution situation of 31 provincial capitals is clustered and the study areas of the current study are selected based on the clustering result. A new data preprocessing algorithm is conducted to excavate the potential characteristics of the raw time series in the first place in the preprocessing module. Then, the lengthchangeable incremental extreme learning machine is used to forecast each component. In the evaluation module, the air quality is qualitatively analyzed by the fuzzy evaluation method. Moreover, the DM test and the SPA test are employed to test the accuracy of the forecasting model. The experimental results of eighteen data sets from three cities show that the hybrid air quality early-warning system establish in the study not only has higher accuracy and generalization ability than other benchmark models, but can provide sufficient air quality information, which is essential to control air pollution.",ATMOSPHERIC POLLUTION RESEARCH,10.1016/j.apr.2021.101153,12,4,Yes,"WNN,ELM,EN",,No,Peoples R China,,,,,,,,,,,,,,,,,,,,,,,,,,
757,WOS:000726351000015,WoS,2021,Article,Vo Thi Tam Minh; Tran Trung Tin; To Thi Hien,"[Vo Thi Tam Minh; To Thi Hien] Univ Sci, Fac Environm, Ho Chi Minh City, Vietnam; [Vo Thi Tam Minh; Tran Trung Tin; To Thi Hien] Vietnam Natl Univ, Ho Chi Minh City, Vietnam; [Tran Trung Tin] Univ Technol, Fac Appl Sci, Ho Chi Minh City, Vietnam","PM2.5 Forecast System by Using Machine Learning and WRF Model, A Case Study: Ho Chi Minh City, Vietnam",Machine learning; Extra Trees Regression; WRF; Predict PM2.5; Ho Chi Minh City,"Predicting has necessary implications as part of air pollution alerts and the air quality management system. In recent years, air quality studies and observations in Vietnam have shown that pollution is increasing, especially the concentration of PM2.5. There are warnings about excessively high concentrations of PM2.5 in the two major cities of Vietnam as Ho Chi Minh City and Hanoi. Projections for PM2.5 concentrations in these cities will provide short-term predictive data on air quality. Using the WRF model to forecast PM2.5 in Ho Chi Minh City is new research for providing forecast information on air pollution. Experiments with six machine learning algorithms show that the Extra Trees Regression model gives the best forecast with statistical evaluation indicators including RMSE = 7.68 mu g m(-3), MAE = 5.38 mu g m(-3), R-squared = 0.68, and the confusion matrix accuracy of 74%. The experimental setting of the Extra Trees Regression algorithm to predict PM2.5 for the next two days with WRF's simulated meteorological data compared with the forecast with observed data showing high accuracy of over 80%. The results show that machine learning with the WRF model can predict PM2.5 concentration, suitable for early warning of pollution and information provision for air quality management system in large cities as Ho Chi Minh City.",AEROSOL AND AIR QUALITY RESEARCH,10.4209/aaqr.210108,11,4,Yes,"ERT,LR,XGB,LASSO,RF,MLP",,No,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,
763,WOS:000593003900001,WoS,2020,Article,"Ahmed, Mehreen; Mumtaz, Rafia; Zaidi, Syed Mohammad Hassan; Hafeez, Maryam; Zaidi, Syed Ali Raza; Ahmad, Muneer","[Ahmed, Mehreen; Mumtaz, Rafia; Zaidi, Syed Mohammad Hassan] Natl Univ Sci & Technol NUST, Sch Elect Engn & Comp Sci SEECS, Islamabad 44000, Pakistan; [Hafeez, Maryam] Univ Huddersfield, Sch Comp & Engn, Dept Engn & Technol, Huddersfield HD1 3DH, W Yorkshire, England; [Zaidi, Syed Ali Raza] Univ Leeds, Sch Elect & Elect Engn, Leeds L2 9JT, W Yorkshire, England; [Ahmad, Muneer] Univ Malaya, Fac Comp Sci & Informat Technol, Dept Informat Syst, Kaula Lumpur 50603, Malaysia",Distributed Fog Computing for Internet of Things (IoT) Based Ambient Data Processing and Analysis,air monitoring; internet of things; distributed fog computing; air quality; outlier detection,"Urban centers across the globe are under immense environmental distress due to an increase in air pollution, industrialization, and elevated living standards. The unmanageable and mushroom growth of industries and an exponential soar in population has made the ascent of air pollution intractable. To this end, the solutions that are based on the latest technologies, such as the Internet of things (IoT) and Artificial Intelligence (AI) are becoming increasingly popular and they have capabilities to monitor the extent and scale of air contaminants and would be subsequently useful for containing them. With centralized cloud-based IoT platforms, the ubiquitous and continuous monitoring of air quality and data processing can be facilitated for the identification of air pollution hot spots. However, owing to the inherent characteristics of cloud, such as large end-to-end delay and bandwidth constraint, handling the high velocity and large volume of data that are generated by distributed IoT sensors would not be feasible in the longer run. To address these issues, fog computing is a powerful paradigm, where the data are processed and filtered near the end of the IoT nodes and it is useful for improving the quality of service (QoS) of IoT network. To further improve the QoS, a conceptual model of distributed fog computing and a machine learning based data processing and analysis model is proposed for the optimal utilization of cloud resources. The proposed model provides a classification accuracy of 99% while using a Support Vector Machines (SVM) classifier. This model is also simulated in iFogSim toolkit. It affords many advantages, such as reduced load on the central server by locally processing the data and reporting the quality of air. Additionally, it would offer the scalability of the system by integrating more air quality monitoring nodes in the IoT network.",ELECTRONICS,10.3390/electronics9111756,14,4,No,,,,"Pakistan,England,Malaysia",,,,,,,,,,,,,,,,,,,,,,,,,,
769,WOS:000635207100046,WoS,2021,Article,"Yu, Manzhu; Liu, Qian","[Yu, Manzhu] Penn State Univ, Dept Geog, Inst Computat & Data Sci, University Pk, PA 16802 USA; [Liu, Qian] Georgia State Univ, Dept Geog & GeoInformat Sci, NSF Spatiotemporal Innovat Ctr, Atlanta, GA 30303 USA",Deep learning-based downscaling of tropospheric nitrogen dioxide using ground-level and satellite observations,Nitrogen dioxide; Spatial downscaling; Spatial interpolation; Deep learning; TROPOMI; AirNOW,"Air quality is one of the major issues within an urban area that affect people's living environment and health conditions. Existing observations are not adequate to provide a spatiotemporally comprehensive air quality information for vulnerable populations to plan ahead. Launched in 2017, TROPOspheric Monitoring Instrument (TROPOMI) provides a high spatial resolution (similar to 5 km) tropospheric air quality measurement that captures the spatial variability of air pollution, but still limited by its daily overpass in the temporal dimension and relatively short historical records. Integrating with the hourly available AirNOWobservations by ground-level discrete stations, we proposed and compared two deep learning methods that learn the relationship between the ground-level nitrogen dioxide (NO2) observation from AirNOW and the tropospheric NO2 column density from TROPOMI to downscale the daily NO2 to an hourly resolution. The input predictors include the locations of AirNOW stations, AirNOW NO2 observations, boundary layer height, other meteorological status, elevation, major roads, and power plants. The learned relationship can be used to produce NO2 emission estimates at the sub-urban scale on an hourly basis. The two methods include 1) an integrated method between inverse weighted distance and a feed forward neural network (IDW+ DNN), and 2) a deep matrix network (DMN) that maps the discrete AirNOWobservations directly to the distribution of TROPOMI observations. Wefurther compared the accuracies of both models using different configurations of input predictors and validated their average Root Mean Squared Error (RMSE), average Mean Absolute Error (MAE) and the spatial distribution of errors. Results show that DMN generates more reliable NO2 estimates and captures a better spatial distribution of NO2 concentrations than the IDW+ DNN model. (C) 2021 Elsevier B.V. All rights reserved.",SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2021.145145,12,4,No,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,
782,2-s2.0-85128087252,Scopus,2022,Article,"Wang S., Huo Y., Mu X., Jiang P., Xun S., He B., Wu W., Liu L., Wang Y.","School of Resources and Environmental Engineering, Anhui University, Hefei, 230601, China; Anhui Institute of Meteorological Sciences, Key Laboratory for Atmospheric Sciences & Remote Sensing of Anhui Province, Hefei, 230031, China; Shouxian National Climate Observatory, Huainan, 232200, China; Huaihe River Basin Typical Farmland Ecological Meteorological Field Science Experiment Base of China Meteorological Administration, Huainan, 232200, China; Information Materials and Intelligent Sensing Laboratory of Anhui Province, Hefei, 230601, China; State Key Laboratory of Severe Weather (LASW) and Key Laboratory of Atmospheric Chemistry of CMA, Chinese Academy of Meteorological Sciences, Beijing, 100081, China; Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing, 100029, China",A High-Performance Convolutional Neural Network for Ground-Level Ozone Estimation in Eastern China,convolutional neural network; deep learning; ground-level ozone,"Having a high-quality historical air pollutant dataset is critical for environmental and epidemiological research. In this study, a novel deep learning model based on convolutional neural network architecture was developed to estimate ground-level ozone concentrations across eastern China. A high-resolution maximum daily average 8-h (MDA8) surface ground ozone concentration dataset was generated with the support of the total ozone column from the satellite Tropospheric Monitoring Instrument, meteorological data from the China Meteorological Administration Land Data Assimilation System, and simulations of the WRF-Chem model. The modeled results were compared with in situ measurements in five cities that were not involved in model training, and the mean R2 of predicted ozone with observed values was 0.9, indicating the good robustness of our model. In addition, we compared the model results with some widely used machine learning techniques (e.g., random forest) and recently published ozone datasets, showing that the accuracy of our model is higher and that the spatial distributions of predicted ozone are more coherent. This study provides an efficient and exact method to estimate ground-level ozone and offers a new perspective for modeling spatiotemporal air pollutants. Â© 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Remote Sensing,10.3390/rs14071640,8,4,Yes,CNN,,Yes,China,,,,,,,,,,,,,,,,,,,,,,,,,,
803,WOS:000766018900008,WoS,2022,Article,"Xia, Yan; Jiang, Linhui; Wang, Lu; Chen, Xue; Ye, Jianjie; Hou, Tangyan; Wang, Liqiang; Zhang, Yibo; Li, Mengying; Li, Zhen; Song, Zhe; Jiang, Yaping; Liu, Weiping; Li, Pengfei; Rosenfeld, Daniel; Seinfeld, John H.; Yu, Shaocai","[Xia, Yan; Jiang, Linhui; Wang, Lu; Chen, Xue; Hou, Tangyan; Wang, Liqiang; Zhang, Yibo; Li, Mengying; Li, Zhen; Song, Zhe; Jiang, Yaping; Liu, Weiping; Yu, Shaocai] Zhejiang Univ, Coll Environm & Resource Sci, Res Ctr Air Pollut & Hlth, Key Lab Environm Remediat & Ecol Hlth,Minist Educ, Hangzhou 310058, Zhejiang, Peoples R China; [Seinfeld, John H.; Yu, Shaocai] CALTECH, Div Chem & Chem Engn, Pasadena, CA 91125 USA; [Li, Pengfei] Hebei Agr Univ, Coll Sci & Technol, Baoding 071000, Hebei, Peoples R China; [Rosenfeld, Daniel] Hebrew Univ Jerusalem, Inst Earth Sci, Jerusalem, Israel; [Ye, Jianjie] Bytedance Inc, Hangzhou 310058, Zhejiang, Peoples R China",Rapid assessments of light-duty gasoline vehicle emissions using on-road remote sensing and machine learning,On-road remote sensing; Machine learning; Vehicle emissions; Rapid assessments,"In-time and accurate assessments of on-road vehicle emissions play a central role in urban air quality and health policymaking. However, official insight is hampered by the Inspection/Maintenance (I/M) procedure conducted in the laboratory annually. It not only has a large gap to real-world situations (e.g., meteorological conditions) but also is incapable of regular supervision. Here we build a unique dataset including 103,831 light-duty gasoline vehicles, in which on-road remote sensing (ORRS) measurements are linked to the I/M records based on the vehicle identification numbers and license plates. On this basis, we develop an ensemble model framework that integrates three machining learning algorithms, including neural network (NN), extreme gradient boosting (XGBoost), and random forest (RF). We demonstrate that this ensemble model could rapidly assess the vehicle-specific emissions (i.e., CO, HC, and NO). In particular, the model performs quite well for the passing vehicles under normal conditions (i.e., lower VSP (<18 kw/t), temperature (6-32 degrees C), relative humidity (<80%), and wind speed (<5 m/s)). Together with the current emission standard, we identify a large number of the 'dirty' (2.33%) or 'clean' (74.92%) vehicles in the real world. Our results show that the ORRS measurements, assisted by the machine-learning-based ensemble model developed here, can realize day-to-day supervision of on-road vehicle-specific emissions. This approach framework provides a valuable opportunity to reform the I/M procedures globally and mitigate urban air pollution deeply.",SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2021.152771,8,4,No,,,,"Peoples R China,United States,Israel",,,,,,,,,,,,,,,,,,,,,,,,,,
809,WOS:000797413500001,WoS,2022,Article,"Yang, Yuting; Mei, Gang; Izzo, Stefano","[Yang, Yuting; Mei, Gang] China Univ Geosci, Sch Engn & Technol, Beijing 100083, Peoples R China; [Izzo, Stefano] Univ Naples Federico II, Dept Math & Applicat, I-80126 Naples, Italy",Revealing Influence of Meteorological Conditions on Air Quality Prediction Using Explainable Deep Learning,Atmospheric modeling; Deep learning; Predictive models; Air pollution; Analytical models; Recurrent neural networks; Market research; Explainable deep learning; air quality prediction; meteorological condition; long short-term memory (LSTM); gate recurrent unit (GRU),"Meteorological conditions have a strong influence on air quality and can play an important role in air quality prediction. However, due to the ""black-box"" nature of deep learning, it is difficult to obtain trustworthy deep learning models when considering meteorological conditions in air quality prediction. To address the above problem, in this paper, we reveal the influence of meteorological conditions on air quality prediction by utilizing explainable deep learning. In this paper, (1) the source data from air pollutant datasets, including PM2.5, PM10, SO2 hourly concentration, and the meteorological condition datasets measuring the temperature, humidity, and atmospheric pressure are obtained; (2) the Long Short-Term Memory (LSTM) and Gated Recurrent Unit (GRU) models are established for air quality prediction in 4 conditions; (3) the SHapley Additive exPlanation (SHAP) method is employed to analyze the explainability of the air quality prediction models. We find that the prediction accuracy is not improved by considering only meteorological conditions. However, when combining meteorological conditions with other air pollutants, the prediction accuracy is higher than considering other air pollutants. In addition, the largest contribution to air quality prediction is atmospheric pressure, followed by humidity and temperature. The reason for the different accuracies of the prediction may because of the interaction between meteorological conditions and other air pollutants. The investigated results in this paper can help improve the prediction accuracy of air quality and achieve trusted air quality predictions.",IEEE ACCESS,10.1109/access.2022.3173734,8,4,Yes,"GRU,LSTM",,No,"Peoples R China,Italy",,,,,,,,,,,,,,,,,,,,,,,,,,
