,ID,Source,date,art_type,authors,title,keywords,abstract,affiliations,publisher,doi,citations,Citations per year,Include,ML/DL techniques,Country,Spatial,Index analysed,Output produced,Variables,source,Spatial resolution,Time resolution,Comments,Accuracy,Feature selection,FS Comments,Optimization,Optimization comments,Transformation,Transformation comments,Decomposition,Decomposition comments,Outlier removal,OR comments,Gap fill,GF comments
25,2-s2.0-85119294183,Scopus,2021,Article,"McCarty D., Lee J., Kim H.W.",Machine learning simulation of land cover impact on surface urban heat island surrounding park areas,Dallas; Extreme gradient boost; Land use land cover; Park characteristic; Shapley additive explanation; Urban heat island; Urbanization,"The urban heat island effect has been studied extensively by many researchers around the world with the process of urbanization coming about as one of the major culprits of the increasing urban land surface temperatures. Over the past 20 years, the city of Dallas, Texas, has consistently been one of the fastest growing cities in the United States and has faced rapid urbanization and great amounts of urban sprawl, leading to an increase in built-up surface area. In this study, we utilize Landsat 8 satellite images, Geographic Information System (GIS) technologies, land use/land cover (LULC) data, and a state-of-the-art methodology combining machine learning algorithms (eX-treme Gradient Boosted models, or XGBoost) and a modern game theoretic-based approach (Shap-ley Additive exPlanation, or SHAP values) to investigate how different land use/land cover classi-fications impact the land surface temperature and park cooling effects in the city of Dallas. We con-clude that green spaces, residential, and commercial/office spaces have the largest impacts on Land Surface Temperatures (LST) as well as the Parkâs Cooling Intensity (PCI). Additionally, we have found that the extent and direction of influence of these categories depends heavily on the surrounding area. By using SHAP values we can describe these interactions in greater detail than pre-vious studies. These results will provide an important reference for future urban and park place-ment planning to minimize the urban heat island effect, especially in sprawling cities. Â© 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Department of Urban Planning & Policy, Incheon National University, Incheon, 22012, South Korea; Department of Urban Design & Planning, Hongik University, Seoul, 04066, South Korea; Department of Urban Policy & Administration, Incheon National University, Incheon, 22012, South Korea",Sustainability (Switzerland),10.3390/su132212678,4,2,No,,South Korea,,,,,,,,,,,,,,,,,,,,,
34,2-s2.0-85103135968,Scopus,2021,Article,"Chang J.M.-H., Lam Y.F., Lau S.P.-W., Wong W.-K.",Development of fine-scale spatiotemporal temperature forecast model with urban climatology and geomorphometry in Hong Kong,Machine learning; Sky view factor; Spatial mapping; Statistical downscaling; Urban heat island; Urban temperature,"High precisive fine-scale temperature forecast serves as an important tool in quantifying human comfort, health threats with extreme temperature and energy consumption. In this study, Urban Microscale Temperature Forecast (UMTF) model was developed using machine learning techniques (k-means clustering and support vectors machine) with reference to global ensembles and geomorphometry datasets (sky view factor, daily sun trajectory and urban terrain model). It statistically downscales the daily temperature extremes of 10-km ensemble forecast into 50-m resolution across Hong Kong. It is observed that the downscaling process has contributed to a considerable reduction of mean absolute errors (up to 1.0 degree Celsius (45.1%)) with improved correlation (R2 = 0.84) across 26 automatic weather stations. To further validate the result, an independent dataset from the Community Weather Information Network (CoWIN) and the ASTER heat island intensity map were added for the model evaluation. The comparison result illustrates clear and resemble spatiality in temperature extremes with sophisticated urban buildings, park greenery and coastal front features can be re-projected in details. At last, the study demonstrates the low-cost weather stations could be an effective way to achieve a detailed temperature forecast in a heterogeneous urban environment. Â© 2021 Elsevier B.V.","School of Energy and Environment, City University of Hong Kong, Hong Kong; Department of Geography, University of Hong Kong, Hong Kong; Hong Kong Observatory, Hong Kong",Urban Climate,10.1016/j.uclim.2021.100816,5,2,No,,Hong Kong,,,,,,,,,,,,,,,,,,,,,
46,WOS:000682200800001,WoS,2021,Article,"Tao, Fei; Hu, Yuchen; Tang, Guoan; Zhou, Tong",Long-Term Evolution of the SUHI Footprint and Urban Expansion Based on a Temperature Attenuation Curve in the Yangtze River Delta Urban Agglomeration,urban heat island; footprint; logistics model; machine learning; attenuation curve; Yangtze River Delta urban agglomeration,"The rapid growth of urbanization and population has aggravated the urban heat island (UHI) effect in urban agglomerations. However, because scholars have so far focused mainly on the magnitude of the UHI effect, there is still a lack of research on the quantitative evaluation of the relationship between urban expansion and the degree of the UHI effect from the urban agglomeration perspective. This paper analyzed the spatiotemporal characteristics and the interactive mechanism of the surface urban heat island footprint (SUHI FP) in the Yangtze River Delta urban agglomeration (YRDUA). The summer footprints (FPs) of 27 cities were extracted using a logistics model, and the temporal trend was estimated by a standard deviation ellipse (SDE). Furthermore, the authors used the classical machine-learning k-means algorithm to cluster the temperature attenuation curves to reveal development patterns in different cities. The results showed that the degree of FP expansion during the daytime was more apparent than at night, the area of urban growth positively correlated with a city's population level, and from 2005 to 2018 (the period of the study), the spatial evolution for all cities showed an overall trend from east to west. These cities were divided roughly into three development patterns by clustering their 2018 temperature attenuation curves. These findings can provide a scientific basis for formulating effective land-use policies by giving a deeper understanding of the spatiotemporal changes in the SUHI FPs and their relationship with land cover in the YRDUA.","[Tao, Fei; Hu, Yuchen; Tang, Guoan] Nanjing Normal Univ, Sch Geog, Nanjing 210023, Peoples R China; [Tao, Fei; Zhou, Tong] Nantong Univ, Sch Geog Sci, Nantong 226007, Peoples R China; [Tao, Fei; Hu, Yuchen; Tang, Guoan] Nanjing Normal Univ, Minist Educ, Key Lab Virtual Geog Environm, Nanjing 210023, Peoples R China; [Tao, Fei; Hu, Yuchen; Tang, Guoan] Jiangsu Ctr Collaborat Innovat Geog Informat Reso, Nanjing 210023, Peoples R China",SUSTAINABILITY,10.3390/su13158530,4,2,No,,Peoples R China,,,,,,,,,,,,,,,,,,,,,
56,WOS:000751285900001,WoS,2022,Article,"Zhu, Yuanhui; Myint, Soe W.; Schaffer-Smith, Danica; Muenich, Rebecca L.; Tong, Daoqin; Li, Yubin",Formulating Operational Mitigation Options and Examining Intra-Urban Social Inequality Using Evidence-Based Urban Warming Effects,ECOSTRESS; land surface temperature; land use and land cover; socioeconomic status; scenario analysis; Phoenix,"Human-induced climate change is bringing warmer conditions to the Southwestern United States. More extreme urban heat island (UHI) effects are not distributed equally, and often impact socioeconomically vulnerable populations the most. This study aims to quantify how land surface temperature (LST) changes with increasing green vegetation landscapes, identify disparities in urban warming exposure, and provide a method for developing evidence-based mitigation options. ECOSTRESS LST products, detailed land use and land cover (LULC) classes, and socioeconomic variables were used to facilitate the analysis. We examined the relationship between LST and the fractions of LULC and socioeconomic factors in the city of Phoenix, Arizona. A machine learning approach (Random Forest) was used to model LST changes by taking the LULC fractions (scenario-based approaches) as the explanatory variables. We found that vegetation features-trees, grass, and shrubs-were the most important factors mitigating UHI effects during the summer daytime. Trees tended to lower surface temperature more effectively, whereas we observed elevated daytime LST most often near roads. Meanwhile, higher summer daytime temperatures were observed on land with unmanaged soil compared to the built environment. We found that affluent neighborhoods experienced lower temperatures, while low-income communities experienced higher temperatures. Scenario analyses suggest that replacing 50% of unmanaged soil with trees could reduce average summer daytime temperatures by 1.97 degrees C if the intervention was implemented across all of Phoenix and by 1.43 degrees C if implemented within the urban core only. We suggest that native trees requiring little to no additional water other than rainfall should be considered. We quantify mitigation options for urban warming effect under vegetation management interventions, and our results provide some vital insight into existing disparities in UHI impacts. Future UHI mitigation strategies seriously need to consider low-income communities to improve environmental justice. These can be used to guide the development of sustainable and equitable policies for vegetation management to mitigate heat exposure impacts on communities.","[Zhu, Yuanhui; Myint, Soe W.; Tong, Daoqin; Li, Yubin] Arizona State Univ, Sch Geog Sci & Urban Planning, Tempe, AZ 85281 USA; [Schaffer-Smith, Danica] Arizona State Univ, Sch Life Sci, Tempe, AZ USA; [Schaffer-Smith, Danica] Nature Conservancy, Durham, NC USA; [Muenich, Rebecca L.] Arizona State Univ, Sch Sustainable Engn, Tempe, AZ USA",FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2021.795474,3,2,No,,United States,,,,,,,,,,,,,,,,,,,,,
60,2-s2.0-85117183628,Scopus,2022,Article,Mendez-Astudillo J.; Mendez-Astudillo M.,A Machine Learning Approach to Monitoring the UHI from GNSS Data,Air urban heat island (AUHI) in Japan; environmental monitoring; global navigation satellite system (GNSS) remote sensing; machine learning (ML) regression; support vector regressor; UHI monitoring; zenith tropospheric delay (ZTD),"The urban heat island (UHI) effect has been widely studied because of its impacts on the environment and human's wellbeing. The surface UHI (SUHI) is typically monitored with remote sensing products, whereas the air UHI (AUHI) is typically monitored using temperature sensor networks. The first technique requires clear days to obtain good images, and the latter is limited by the number of weather stations in an urban and rural area. An alternative to monitor the AUHI is the usage of global navigation satellite system (GNSS) data which is available in all weather conditions and there are well-developed GNSS receiver networks around the world. In this article, we propose a machine learning (ML) approach to estimating the air temperature from GNSS data to take advantage of the quantity of data. By training a support vector regressor with three datasets, GNSS-derived zenith tropospheric delay (ZTD), temperature, and day-of-the year, we can estimate temperature from GNSS data without the need for other environmental variables. The regressor presented in this article is trained with data from 2016 to 2019 and tested with data from 2020 in five Japanese metropolitan areas. The results show that it is possible to predict temperature from only the ZTD of GNSS signals with high precision, as an R{2} between 0.82 and 0.90 is found for the predictions. Predicted temperatures are then used to study the diurnal cycle of the AUHI in Sapporo, Tokyo, Nagoya, Osaka-Kyoto, and Fukuoka with an average precision of 0.8 °C. © 1980-2012 IEEE.","International Doctoral Innovation Centre, University of Nottingham Ningbo China, Ningbo, China; National Institute of Information and Communications Technology (NICT), Tokyo, Japan",IEEE Transactions on Geoscience and Remote Sensing,10.1109/tgrs.2021.3091949,4,2,No,,"China,Japan",,,,,,,,,,,,,,,,,,,,,
95,2-s2.0-85166244567,Scopus,2023,Article,Kang Z.; Liu H.; Lu Y.; Yang X.; Zhou X.; An J.; Yan D.; Jin X.; Shi X.,A novel approach to examining the optimal use of the cooling effect of water bodies in urban planning,Correlation analysis; Machine learning; Remote-sensing inversion; Urban heat island; Water-cooling effect,"As the main source of cooling in a city, water bodies play an important role in regulating the natural environment. However, there is a lack of analysis regarding the most effective methods for enhancing the cooling effect of different types of water bodies, as well as classifying the cooling effects based on parameters that affect the cooling effect. This hinders targeted optimization in urban construction. To address this gap, this study used remote-sensing data to develop a novel approach for classifying water bodies according to their actual cooling effect, and establishing a cooling effect prediction model for water bodies based on parameters that affect the cooling effect using machine learning methods. First, the cooling effect of 35 water samples from downtown Nanjing were classified by utilizing the data-mining method. Then the traditional method of classifying water bodies directly from parameters that affect the cooling effect and the classification prediction model established in this study were used to classify water bodies, respectively. It was found that the proposed classification prediction model constructed by combining unsupervised and supervised learning accurately and effectively determined the cooling effect classification of water bodies. Compared with the traditional classification method, the accuracy of the cooling effect classification by the novel approach can be improved by 1.46 times. Additionally, the study examined the correlation factors affecting the cooling effect of each class of water body and identified the most effective measures for improving the cooling effect of each class. It is noteworthy that for different classes, the most effective measures to exert the cooling effect are different. Starting from the parameters that affect the cooling effect of water bodies, this study offers targeted measures for respective water bodies to optimize their cooling density, range, and efficiency. This research provides a basis for using the cooling effect of water bodies more effectively and guiding urban planning and the construction of waterfronts. © 2023 Elsevier Ltd","School of Architecture, Southeast University, Jiangsu Province, Nanjing, 210096, China; Architects & Engineers Co., LTD of Southeast University, Jiangsu Province, 210096, China; School of Environment and Energy Engineering, Beijing University of Civil Engineering and Architecture, Beijing, 100084, China; School of Architecture, Tsinghua University, Beijing, 100084, China; School of Architecture, Southeast University, Jiangsu, Nanjing, 210096, China; College of Architecture and Urban Planning, Tongji University, Shanghai, 200092, China",Building and Environment,10.1016/j.buildenv.2023.110673,2,2,No,,China,,,,,,,,,,,,,,,,,,,,,
103,2-s2.0-85162108220,Scopus,2023,Article,Assaf G.; Hu X.; Assaad R.H.,Mining and modeling the direct and indirect causalities among factors affecting the Urban Heat Island severity using structural machine learned Bayesian networks,Bayesian networks; Causal relationships; Machine learning; Structural learning; Urban climate; Urban Heat Island (UHI),"Urbanization, population growth, and climate change have several impacts on the environment including the extreme increase in temperature in urban areas, which is also known as the Urban Heat Island (UHI) effect. This paper presents a novel white-box data-driven structural learning Bayesian network model that (1) discovers knowledge from the data by identifying the key factors impacting the UHI severity; (2) captures the causal (direct and indirect) relationships between the different variables that influence UHI severity, and (3) represents the learned relationships into graphical networks that are both machine- and human-interpretable. Different Bayesian networks were developed based on a dataset comprised of 31 meteorological, socio-demographic, geographic, and land use/land cover factors gathered for the State of New Jersey, USA. Furthermore, the different Bayesian networks were assessed and compared to determine the optimal structure. Finally, the best model was validated on an unseen testing sample where an overall accuracy of 88.51% was obtained. The proposed optimal Bayesian network model was able to discover knowledge about 13 causal relationships between 12 variables (one of which is the UHI severity). The outcomes of this research are crucial for urban management and for proposing proper adaptation plans for the UHI effect. © 2023 Elsevier B.V.","Smart Construction and Intelligent Infrastructure Systems (SCIIS) Lab, John A. Reif, Jr. Department of Civil and Environmental Engineering, New Jersey Institute of Technology, Newark, 07102, NJ, United States",Urban Climate,10.1016/j.uclim.2023.101570,2,2,Yes,BN,United States,"Yes, polygon",UHI,,"Meteo
Demographic
Geographic
LULC
UHI","Global Climate Monitor
US Census Bureau
natural Earth
...
Other studies
",,,,"precision, accuracy, recall, f-1 socre, AUC",Yes,Random Forest classification importance,Yes,Directed acyclic graphs on top of bayesian networks  and hyperparameter tunning thru grid search and 5-fold coress validation.,Yes,"Normalization, data skewing (cube root method, hyperbolic tangent method, log-transform method, sigmoid method), and discretization (from continuos values to classes).",,,Yes,"Minumium covariance determinant, local outlier factor, one-class SVM",Yes,KNN
108,WOS:001097192500001,WoS,2022,Article,"Fung, Kwun Yip; Yang, Zong-Liang; Niyogi, Dev","Improving the local climate zone classification with building height, imperviousness, and machine learning for urban models",Local Climate Zone; Machine Learning; Deep Learning; Urban Classification,"The Local Climate Zone (LCZ) classification is already widely used in urban heat island and other climate studies. The current classification method does not incorporate crucial urban auxiliary GIS data on building height and imperviousness that could significantly improve urban-type LCZ classification utility as well as accuracy. This study utilized a hybrid GIS- and remote sensing imagery-based framework to systematically compare and evaluate different machine and deep learning methods. The Convolution Neural Network (CNN) classifier outperforms in terms of accuracy, but it requires multi-pixel input, which reduces the output's spatial resolution and creates a tradeoff between accuracy and spatial resolution. The Random Forest (RF) classifier performs best among the single-pixel classifiers. This study also shows that incorporating building height dataset improves the accuracy of the high- and mid-rise classes in the RF classifiers, whereas an imperviousness dataset improves the low-rise classes. The single-pass forward permutation test reveals that both auxiliary datasets dominate the classification accuracy in the RF classifier, while near-infrared and thermal infrared are the dominating features in the CNN classifier. These findings show that the conventional LCZ classification framework used in the World Urban Database and Access Portal Tools (WUDAPT) can be improved by adopting building height and imperviousness information. This framework can be easily applied to different cities to generate LCZ maps for urban models.","[Fung, Kwun Yip; Yang, Zong-Liang; Niyogi, Dev] Univ Texas Austin, Jackson Sch Geosci, Dept Geol Sci, Austin, TX 78712 USA; [Niyogi, Dev] Univ Texas Austin, Cockrell Sch Engn, Dept Civil Architectural & Environm Engn, Austin, TX 78712 USA",COMPUTATIONAL URBAN SCIENCE,10.1007/s43762-022-00046-x,4,2,No,,United States,,,,,,,,,,,,,,,,,,,,,
112,WOS:000947201100001,WoS,2023,Article,"Chen, Han; Huang, Jinhui Jeanne; Liang, Hong; Wang, Weimin; Li, Han; Wei, Yizhao; Jiang, Albert Z.; Zhang, Pengwei",Integration of flux footprint and physical mechanism into convolutional neural network model for enhanced simulation of urban evapotranspiration,Urban evapotranspiration; Flux footprint; Convolutional neural network; Eddy correlation; Urbanization,"Estimating urban evapotranspiration (ET) is of great significance for urban water resource allocation and assessing the urban heat island effect. However, most current urban ET models are based on the energy balance theory to estimate urban ET. These models lead to significant errors in urban ET simulation due to the surface heterogeneity and the existence of anthropogenic heat fluxes in urban areas. To solve this issue, this study proposes a modified machine learning-based urban ET method that can estimate urban ET at the site and regional scales. To better characterize the heterogeneity of urban surfaces, the flux footprint of in-situ ET and physical mechanism of ET process are integrated into the convolutional neural network (CNN) model. The modified CNN model is tested in a fast-developing city: Shenzhen, China based on two Eddy Correlation (EC) observations. The verification results indicated that coupling flux footprint and physical mechanism into the CNN model could effectively improve the accuracy of urban ET simulation at the site scale. The modified CNN model significantly reduced the root-mean-square-error (RMSE) of 25.8 W/m2 and increased the determination coefficient (R2) of 0.17 compared to the CNN-O model (The CNN-O model is defined as the CNN model do not integrate flux footprint and physical mechanism of ET). Further analyses suggested that fusing flux footprint data into a machine learning model helps enhance ET estimation in regions with high heterogeneity and highly variable wind directions. Moreover, the integration of physical mechanisms significantly enhanced the model capability to simulate extreme ET events. The modified CNN model is further applied to map the spatial distribution of urban ET and reconstruct long-term urban ET changes. The spatial pattern of urban ET exhibited large spatial variability, where the urban ET in water bodies (mean lambda ET larger than 480 W/m2) and vegetation-covered areas (mean lambda ET larger than 260 W/m2) are substantially higher than the impervious surfaces (mean lambda ET less than 30 W/m2). Long-term trend analyses demonstrated that urbanization resulted in decline in urban ET. The average decreasing rate of urban ET is 1.61 mm/yr (P < 0.05), with a 18 % decrease relative to the long-term ET average. The leading causes for the decline of urban ET are the increased impervious surfaces and the decreased radiation. This study improved the simulation accuracy of urban ET and revealed the response of urban ET to urbanization.","[Chen, Han; Huang, Jinhui Jeanne; Li, Han; Wei, Yizhao; Zhang, Pengwei] Nankai Univ, Sino Canada Joint R&D Ctr Water & Environm Safety, Coll Environm Sci & Engn, Tianjin 300071, Peoples R China; [Liang, Hong; Wang, Weimin] Natl Observat & Res Stn, Change & Comprehens Treatment Reg Ecol & Environm, Wuhan, Peoples R China; [Liang, Hong; Wang, Weimin] State Environm Protect Sci Observat & Res Stn Eco, Changzhou, Peoples R China; [Liang, Hong; Wang, Weimin] Shenzhen Ecol & Environm Monitoring Ctr Guangdong, Shenzhen, Peoples R China; [Jiang, Albert Z.] Univ Guelph, Sch Engn, Guelph, ON N1G 2W1, Canada",JOURNAL OF HYDROLOGY,10.1016/j.jhydrol.2022.129016,2,2,No,,"Peoples R China,Canada",,,,,,,,,,,,,,,,,,,,,
7,2-s2.0-85135684179,Scopus,2022,Article,"Sigler L., Gilabert J., Villalba G.",Exploring Methods for Developing Local Climate Zones to Support Climate Research,climatology; geographical information systems (GISs); Google Earth Engine (GEE); land surface temperature (LST); Local Climate Zones (LCZs); urban land use; World Urban Database and Access Portal Tools (WUDAPT),"Meteorological and climate prediction models at the urban scale increasingly require more accurate and high-resolution data. The Local Climate Zone (LCZ) system is an initiative to standardize a classification scheme of the urban landscape, based mainly on the properties of surface structure (e.g., building, tree height, density) and surface cover (pervious vs. impervious). This approach is especially useful for studying the influence of urban morphology and fabric on the surface urban heat island (SUHI) effect and to evaluate how changes in land use and structures affect thermal regulation in the city. This article will demonstrate three different methodologies of creating LCZs: first, the World Urban Database and Access Portal Tools (WUDAPT); second, using Copernicus Urban Atlas (UA) data via a geographic information system (GIS) client directly; and third via Google Earth Engine (GEE) using Oslo, Norway as the case study. The WUDAPT and GEE methods incorporate a machine learning (random forest) procedure using Landsat 8 imagery, and offer the most precision while requiring the most time and familiarity with GIS usage and satellite imagery processing. The WUDAPT method is performed principally using multiple GIS clients and image processing tools. The GEE method is somewhat quicker to perform, with work performed entirely on Googleâs sites. The UA or GIS method is performed solely via a GIS client and is a conversion of pre-existing vector data to LCZ classes via scripting. This is the quickest method of the three; however, the reclassification of the vector data determines the accuracy of the LCZs produced. Finally, as an illustration of a practical use of LCZs and to further compare the results of the three methods, we map the distribution of the temperature according to the LCZs of each method, correlating to the land surface temperature (LST) from a Landsat 8 image pertaining to a heat wave episode that occurred in Oslo in 2018. These results show, in addition to a clear LCZ-LST correspondence, that the three methods produce accurate and similar results and are all viable options. Â© 2022 by the authors.","Sostenipra Research Group, Institute of Environmental Sciences and Technology, Autonomous University of Barcelona, Bellaterra, Barcelona, 08193, Spain; International Centre for Numerical Methods in Engineering (CIMNE), C. Gran CapitÃ¡ s/n, Barcelona, 08034, Spain; School of Civil Engineering, Polytechnic University of Catalonia, C. Jordi Girona, 1, Barcelona, 08034, Spain; PCOT Team, Cartographic and Geological Institute of Catalonia (ICGC), Parc de MontjuÃ¯c, Barcelona, 08038, Spain; Department of Physics, University of Barcelona, C. MartÃ­ i FranquÃ©s 1, Barcelona, 08028, Spain; Department of Chemical, Biological and Environmental Engineering, Autonomous University of Barcelona, Bellaterra, Barcelona, 08193, Spain",Climate,10.3390/cli10070109,1,1,No,,Spain,,,,,,,,,,,,,,,,,,,,,
14,2-s2.0-85119957901,Scopus,2022,Article,"Barthwal A., Sharma K.",Analysis and prediction of urban ambient and surface temperatures using internet of things,Ambient temperature; Cross-correlation; Granger causality; Internet of things; Mobile sensing; Predictive models; Surface temperature,"The high temperature condition experienced in urban areas as compared to semi-urban and rural areas creates an urban heat Island (UHI). Formation of UHI in a city should be avoided as it results in higher surface and ambient temperatures, leading to an increased demand for energy, high carbon emission and effects community health in general. Traditional ways of collecting such data is limited through weather stations, and hence such collections are limited to few parts of urban regions. With the advent of new system-on-chip based devices, wireless sensors with mobile OS communication, modern smartphones with a variety of environmental sensors, different communication modules, cloud based storage with data analysis and visualization facilities, it is now possible to develop low cost novel IoT systems to monitor, assess and analyse urban temperatures and their subsequent effects, anywhere and anytime. In this work, a location aware, mobile-sensing enabled IoT system has been designed to monitor, measure and analyse the presence and intensity of UHI effect in various geographical regions. Atmospheric temperatures have been used to predict surface temperatures. Multiple linear, quantile, support vector regression and extreme learning machine based prediction models have been evaluated for forecasting and results have been compared to examine their efficacy. The mean absolute error and the mean absolute percentage error values for the SVR model are the lowest, indicating that the SVR technique has the maximum accuracy. The mean square and the root mean square error values are the smallest for the quantile regression model, showing that the quantile regression approach produces the fewest large errors. All prediction models contain positive biases, according to the MPE values, with the quantile regression technique having the least. For training and testing, the worst-case time complexity of the multiple linear, quantile regression, and ELM models is found to be O(n), indicating that these models are faster than SVR, which has the worst-case time complexity of O(n3). Â© 2021, The Author(s) under exclusive licence to The Society for Reliability Engineering, Quality and Operations Management (SREQOM), India and The Division of Operation and Maintenance, Lulea University of Technology, Sweden.","School of Computing, DIT University, Uttarakhand, Dehradun, India; Computer Science and Engineering, G.L. Bajaj Institute of Technology and Management, Uttar Pradesh, Greater Noida, India",International Journal of System Assurance Engineering and Management,10.1007/s13198-021-01502-3,1,1,No,,India,,,,,,,,,,,,,,,,,,,,,
37,2-s2.0-85120775146,Scopus,2021,Article,"Yeonsu L., Siwoo L., Jungho I., Cheolhee Y.","Analysis of surface urban heat island and land surface temperature using deep learning based local climate zone classification: A case study of suwon and daegu, korea [ë¥ë¬ë ê¸°ë° Local Climate Zone ë¶ë¥ì²´ê³ë¥¼ ì´ì©í ì§íë©´ì¨ëì ëìì´ì¬ ë¶ì: ìììì ëêµ¬ê´ì­ìë¥¼ ëìì¼ë¡]",Convolutional neural network; Deep learning; Local climate zone; Urban climate; Urban heat island,"Urbanization increases the amount of impervious surface and artificial heat emission, resulting in urban heat island (UHI) effect. Local climate zones (LCZ) are a classification scheme for urban areas considering urban land cover characteristics and the geometry and structure of buildings, which can be used for analyzing urban heat island effect in detail. This study aimed to examine the UHI effect by urban structure in Suwon and Daegu using the LCZ scheme. First, the LCZ maps were generated using Landsat 8 images and convolutional neural network (CNN) deep learning over the two cities. Then, Surface UHI (SUHI), which indicates the land surface temperature (LST) difference between urban and rural areas, was analyzed by LCZ class. The results showed that the overall accuracies of the CNN models for LCZ classification were relatively high 87.9% and 81.7% for Suwon and Daegu, respectively. In general, Daegu had higher LST for all LCZ classes than Suwon. For both cities, LST tended to increase with increasing building density with relatively low building height. For both cities, the intensity of SUHI was very high in summer regardless of LCZ classes and was also relatively high except for a few classes in spring and fall. In winter the SUHI intensity was low, resulting in negative values for many LCZ classes. This implies that UHI is very strong in summer, and some urban areas often are colder than rural areas in winter. The research findings demonstrated the applicability of the LCZ data for SUHI analysis and can provide a basis for establishing timely strategies to respond urban on-going climate change over urban areas. Â© 2021 Korean Society of Remote Sensing. All rights reserved.","Department of Urban and Environmental Engineering, Ulsan National Institute of Science and Technology, South Korea; School of Convergence and Fusion System Engineering, Kyungpook National University, South Korea",Korean Journal of Remote Sensing,10.7780/kjrs.2021.37.5.3.9,3,1,No,,South Korea,,,,,,,,,,,,,,,,,,,,,
50,WOS:000610416900004,WoS,2020,Article,"Lee, Dalgeun; Lee, Mi Hee; Kim, Boeun; Yu, Jeonghum; Oh, Yeongju; Park, Jinyi",A Study for Estimation of High Resolution Temperature Using Satellite Imagery and Machine Learning Models during Heat Waves,Remote Sensing; Machine Learning; Disaster Management; Heat Wave,"This study investigates the feasibility of three algorithms, K-Nearest Neighbors (K-NN), Random Forest (RF) and Neural Network (NN), for estimating the air temperature of an unobserved area where the weather station is not installed. The satellite image were obtained from Landsat-8 and MODIS Aqua/Terra acquired in 2019, and the meteorological ground weather data were from AWS/ASOS data of Korea Meteorological Administration and Korea Forest Service. In addition, in order to improve the estimation accuracy, a digital surface model, solar radiation, aspect and slope were used. The accuracy assessment of machine learning methods was performed by calculating the statistics of R-2 (determination coefficient) and Root Mean Square Error (RMSE) through 10-fold cross-validation and the estimated values were compared for each target area. As a result, the neural network algorithm showed the most stable result among the three algorithms with R-2 = 0.805 and RMSE = 0.508. The neural network algorithm was applied to each data set on Landsat imagery scene. It was possible to generate an mean air temperature map from June to September 2019 and confirmed that detailed air temperature information could be estimated. The result is expected to be utilized for national disaster safety management such as heat wave response policies and heat island mitigation research.","[Lee, Dalgeun; Lee, Mi Hee; Kim, Boeun; Yu, Jeonghum; Oh, Yeongju; Park, Jinyi] Nat Disaster Management Res Inst, MOIS, Ulsan, South Korea",KOREAN JOURNAL OF REMOTE SENSING,10.7780/kjrs.2020.36.5.4.4,1,1,No,,South Korea,,,,,,,,,,,,,,,,,,,,,
52,2-s2.0-85138688731,Scopus,2022,Article,"Wang Y., Liang Z., Ding J., Shen J., Wei F., Li S.",Prediction of Urban Thermal Environment Based on Multi-Dimensional Nature and Urban Form Factors,feature importance; machine learning; scenario prediction; urban form; urban thermal environment,"The urban thermal environment is affected by multiple urban form and natural environment factors; research on the accurate prediction of the urban thermal environment, considering the interaction among different urban environmental factors, is still lacking. The development of a machine learning model provides a good means of solving complex problems. This study aims to clarify the relationship between urban environmental variables and the urban thermal environment through high-precision machine learning models as well as provide scenarios of future urban thermal environment developments. We defined an urban thermal environment index (UTEI), considering twelve urban form and natural indicators sourced from the remote sensing data of 150 cities in the Jing-Jin-Ji region from 2000 to 2015. We achieved accurate predictions of UTEI through training a gradient-boosted regression trees model. By unpacking the model, we found that the contribution rate of elevation (ELEV) was the highest. Among all the urban form indicators, the elongation index (ELONG), urban population (POP), nighttime light intensity (NLI), urban area size (AREA), and urban shape index (SHAPE) also had high contributions. We set up five scenarios to simulate the possible impact of different urban form factors on the overall urban thermal environment quality in the region. Under extremely deteriorated patterns that do not control urban expansion and vegetation reduction, the average UTEI could be as high as 0.55â0.76 Â°C in summer and 0.24â0.29 Â°C in winter, yet in the extremely optimized situation, UTEI decreased by 0.69 Â°C in summer and 0.56 Â°C in winter. Results showed that better urban form improves the quality of urban environments and can provide important insights for urban planners to mitigate urban heat island problems. Â© 2022 by the authors.","College of Urban and Environmental Sciences, Peking University, Beijing, 100871, China; Key Laboratory for Earth Surface Processes of The Ministry of Education, Peking University, Beijing, 100871, China",Atmosphere,10.3390/atmos13091493,2,1,Yes,"LR(lasso,elastic net),BR(ridge),RFR,GBRT,AB",China,No,urban thermal environment index (UTEI),,"LST
 elevation
 Wind speed (WIN), the precipitation rate (PRE), air relative humidity (RHU), and solar radiation (RADI)
 nighttime light intensity
 land use status in China
 population density
 monthly normalized differential vegetation index (NDVI)","MOD11A2
 SRTM
 China Meteorological Forcing Dataset
 Defense Meteorological Satellite Program Operational Linescan System 
 Resource and Environment Data Cloud Platform
 Center for International Earth Science Information Network at Columbia University
 MOD13Q1","1 km
 30 m
 0.1 degrees
 1 km
 30 m
 1 km
 250 m","8 day
 -
 3 hour
 -
 -","landscape indexes (represent the urban geometric form): the urban shape index (SHAPE), the urban aggregation index (AI), and the elongation index (ELONG)",,yes,GBTR model with Gini index (for impurity),Yes,Optimization of the GBRT model parameters was obtained by grid searching,,,,,,,,
