index,ID,Source,date,art_type,authors,affiliations,title,keywords,abstract,publisher,doi,citations,Citations per year,Include,ML/DL techniques,Ensemble/stacked models,Spatial,Country,Type of modelling,Pollutant analysed,Output produced,Pollutants considered,Pollutants source,Spatial resolution,Time resolution,Other data,Source of other data,Spatial resolution.1,Time resolution.1,Comments,Accuracy,Feature selection,FS Comments,Optimization,Optimization comments,Transformation,Transformation comments,Decomposition,Decomposition comments,Outlier removal,OR comments,Gap fill,GF comments,geospatial study description
637,WOS:000870820900040,WoS,2022,Article,"Zaini, Nur'atiah; Ean, Lee Woen; Ahmed, Ali Najah; Malek, Marlinda Abdul; Chow, Ming Fai","[Zaini, Nur'atiah; Ean, Lee Woen] Univ Tenaga Nas, Inst Sustainable Energy, Kajang 43000, Selangor, Malaysia; [Ahmed, Ali Najah] Univ Tenaga Nas, Inst Energy Infrastruct, Kajang 43000, Selangor, Malaysia; [Malek, Marlinda Abdul] Int Islamic Univ Malaysia, Dept Civil Engn, Kulliyyah Engn, Kuala Lumpur 50728, Malaysia; [Chow, Ming Fai] Monash Univ Malaysia, Sch Engn, Discipline Civil Engn, Bandar Sunway 47500, Selangor, Malaysia",PM2.5 forecasting for an urban area based on deep learning and decomposition method,,"Rapid growth in industrialization and urbanization have resulted in high concentration of air pollutants in the environment and thus causing severe air pollution. Excessive emission of particulate matter to ambient air has negatively impacted the health and well-being of human society. Therefore, accurate forecasting of air pollutant concentration is crucial to mitigate the associated health risk. This study aims to predict the hourly PM2.5 concentration for an urban area in Malaysia using a hybrid deep learning model. Ensemble empirical mode decomposition (EEMD) was employed to decompose the original sequence data of particulate matter into several subseries. Long short-term memory (LSTM) was used to individually forecast the decomposed subseries considering the influence of air pollutant parameters for 1-h ahead forecasting. Then, the outputs of each forecast were aggregated to obtain the final forecasting of PM2.5 concentration. This study utilized two air quality datasets from two monitoring stations to validate the performance of proposed hybrid EEMD-LSTM model based on various data distributions. The spatial and temporal correlation for the proposed dataset were analysed to determine the significant input parameters for the forecasting model. The LSTM architecture consists of two LSTM layers and the data decomposition method is added in the data pre-processing stage to improve the forecasting accuracy. Finally, a comparison analysis was conducted to compare the performance of the proposed model with other deep learning models. The results illustrated that EEMD-LSTM yielded the highest accuracy results among other deep learning models, and the hybrid forecasting model was proved to have superior performance as compared to individual models.",SCIENTIFIC REPORTS,10.1038/s41598-022-21769-1,11,6,Yes,"LSTM,STLSTM,GRU",,Yes,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,
652,2-s2.0-85082259174,Scopus,2020,Article,"Goulier L., Paas B., Ehrnsperger L., Klemm O.","Climatology Research Group, University of MÃ¼nster, HeisenbergstraÃe 2, MÃ¼nster, 48149, Germany",Modelling of urban air pollutant concentrations with artificial neural networks using novel input variables,Acoustic; Ammonia; ANN; Deep learning; Nitrogen oxides; Ozone; Particulate matter; Prediction; Sound; Traffic,"Since operating urban air quality stations is not only time consuming but also costly, and because air pollutants can cause serious health problems, this paper presents the hourly prediction of ten air pollutant concentrations (CO2, NH3, NO, NO2, NOx, O3, PM1, PM2.5, PM10 and PN10) in a street canyon in MÃ¼nster using an artificial neural network (ANN) approach. Special attention was paid to comparing three predictor options representing the traffic volume: we included acoustic sound measurements (sound), the total number of vehicles (traffic), and the hour of the day and the day of the week (time) as input variables and then compared their prediction powers. The models were trained, validated and tested to evaluate their performance. Results showed that the predictions of the gaseous air pollutants NO, NO2, NOx, and O3 reveal very good agreement with observations, whereas predictions for particle concentrations and NH3 were less successful, indicating that these models can be improved. All three input variable options (sound, traffic and time) proved to be suitable and showed distinct strengths for modelling various air pollutant concentrations. Â© 2020 by the authors. Licensee MDPI, Basel, Switzerland.",International Journal of Environmental Research and Public Health,10.3390/ijerph17062025,21,6,Yes,MLP,,No,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,
683,2-s2.0-85094915228,Scopus,2020,Article,"Guo C., Liu G., Chen C.-H.","College of Mathematics and Computer Sciences, Fuzhou University, No. 2 Xue Yuan Road, University Town, Fuzhou, Fujian, 350116, China",Air Pollution Concentration Forecast Method Based on the Deep Ensemble Neural Network,,"The global environment has become more polluted due to the rapid development of industrial technology. However, the existing machine learning prediction methods of air quality fail to analyze the reasons for the change of air pollution concentration because most of the prediction methods take more focus on the model selection. Since the framework of recent deep learning is very flexible, the model may be deep and complex in order to fit the dataset. Therefore, overfitting problems may exist in a single deep neural network model when the number of weights in the deep neural network model is large. Besides, the learning rate of stochastic gradient descent (SGD) treats all parameters equally, resulting in local optimal solution. In this paper, the Pearson correlation coefficient is used to analyze the inherent correlation of PM2.5 and other auxiliary data such as meteorological data, season data, and time stamp data which are applied to cluster for enhancing the performance. Extracted features are helpful to build a deep ensemble network (EN) model which combines the recurrent neural network (RNN), long short-term memory (LSTM) network, and gated recurrent unit (GRU) network to predict the PM2.5 concentration of the next hour. The weights of the submodel change with the accuracy of them in the validation set, so the ensemble has generalization ability. The adaptive moment estimation (Adam) an algorithm for stochastic optimization is used to optimize the weights instead of SGD. In order to compare the overall performance of different algorithms, the mean absolute error (MAE) and mean absolute percentage error (MAPE) are used as accuracy metrics in the experiments of this study. The experiment results show that the proposed method achieves an accuracy rate (i.e., MAE=6.19 and MAPE=16.20%) and outperforms the comparative models. Â© 2020 Canyang Guo et al.",Wireless Communications and Mobile Computing,10.1155/2020/8854649,22,6,Yes,"ANN,RNN,GRU,LSTM,STACK","ANN-RNN,ANN-LSTM,RNN-LSTM,ANN-RNN-LSTM,ANN-RNN-LSTM-GRU,RNN-LSTM-GRU",No,China,,,,,,,,,,,,,,,,,,,,,,,,,,
730,2-s2.0-85132045009,Scopus,2022,Article,"Liu X., Zhu Y., Xue L., Desai A.R., Wang H.","Joint International Research Laboratory of Atmospheric and Earth System Sciences, School of Atmospheric Sciences, Nanjing University, Nanjing, China; Departure of Atmospheric and Oceanic Sciences, University of Wisconsin-Madison, Madison, WI, United States; Collaborative Innovation Center of Climate Change, Nanjing, China; Frontiers Science Center for Critical Earth Material Cycling, Nanjing University, Nanjing, China",Cluster-Enhanced Ensemble Learning for Mapping Global Monthly Surface Ozone From 2003 to 2019,human health; machine learning; ozone,"Surface ozone is damaging to human health and crop yields. When evaluating global air pollution risk, gridded datasets with high accuracy are desired to reflect the local variations in air pollution concentrations. Here, a cluster-enhanced ensemble machine learning method was used to develop a new 0.5-degree monthly surface ozone data set during 2003Â2019 by combining numerous informative variables. The overall accuracy of our data set is 91.5% (90.8% for space and 92.3% for time). Historically, populations in South Asia, North Africa and Middle-East, and High-income North America are exposed to the highest ozone concentrations. Globally, the population weighted ozone concentration in the peak season is 47.07Â ppbv. Our results highlight that ozone pollution is intensifying in some regions, and implicate air quality management is crucial to secure human health from air pollution. Â© 2022. The Authors.",Geophysical Research Letters,10.1029/2022gl097947,12,6,Yes,"KNN,LASSO,ANN,RF,GBM,XGB",,Yes,"China,United States",,,,,,,,,,,,,,,,,,,,,,,,,,
740,WOS:000543385900321,WoS,2020,Article,"Qadeer, Khaula; Rehman, Wajih Ur; Sheri, Ahmad Muqeem; Park, Inyoung; Kim, Hong Kook; Jeon, Moongu","[Qadeer, Khaula; Kim, Hong Kook; Jeon, Moongu] Gwangju Inst Sci & Technol, Sch Elect Engn & Comp Sci, Gwangju 61005, South Korea; [Rehman, Wajih Ur] COMSATS Univ Islamabad, Dept Chem Engn, Lahore Campus, Punjab 54000, Pakistan; [Sheri, Ahmad Muqeem] Natl Univ Sci & Technol, Mil Coll Signals, Dept Comp Software Engn, Islamabad 44000, Pakistan; [Park, Inyoung; Kim, Hong Kook; Jeon, Moongu] Gwangju Inst Sci & Technol, AI Grad Sch, Gwangju 61005, South Korea",A Long Short-Term Memory (LSTM) Network for Hourly Estimation of PM2.5 Concentration in Two Cities of South Korea,XGBoost; LightGBM; LSTM; bidirectional LSTM; CNNLSTM; GRU; PM2.5; CMAQ,"Air pollution not only damages the environment but also leads to various illnesses such as respiratory tract and cardiovascular diseases. Nowadays, estimating air pollutants concentration is becoming very important so that people can prepare themselves for the hazardous impact of air pollution beforehand. Various deterministic models have been used to forecast air pollution. In this study, along with various pollutants and meteorological parameters, we also use the concentration of the pollutants predicted by the community multiscale air quality (CMAQ) model which are strongly related to PM2.5 concentration. After combining these parameters, we implement various machine learning models to predict the hourly forecast of PM2.5 concentration in two big cities of South Korea and compare their results. It has been shown that Long Short Term Memory network outperforms other well-known gradient tree boosting models, recurrent, and convolutional neural networks.",APPLIED SCIENCES-BASEL,10.3390/app10113984,23,6,Yes,"LSTM,XGB,LGBM,GRU",,No,"South Korea,Pakistan",,PM25,,,,,,,,,,,,,,,,,,,,,,,,
902,2-s2.0-85159567442,Scopus,2023,Article,He Q.; Ye T.; Wang W.; Luo M.; Song Y.; Zhang M.,"School of Resource and Environmental Engineering, Wuhan University of Technology, Wuhan, 430070, China; School of Geography and Planning, Sun Yat-sen University, Guangzhou, 510006, China; School of the Environment, Yale University, New Haven, 06511, CT, United States",Spatiotemporally continuous estimates of daily 1-km PM2.5 concentrations and their long-term exposure in China from 2000 to 2020,Aerosol optical depth (AOD); Ensemble learning; Fine particulate matter (PM<sub>2.5</sub>); Full coverage; Long-term variations,"Monitoring long-term variations in fine particulate matter (PM2.5) is essential for environmental management and epidemiological studies. While satellite-based statistical/machine-learning methods can be used for estimating high-resolution ground-level PM2.5 concentration data, their applications have been hindered by limited accuracy in daily estimates during years without PM2.5 measurements and massive missing values due to satellite retrieval data. To address these issues, we developed a new spatiotemporal high-resolution PM2.5 hindcast modeling framework to generate the full-coverage, daily, 1-km PM2.5 data for China for the period 2000–2020 with improved accuracy. Our modeling framework incorporated information on changes in observation variables between periods with and without monitoring data and filled gaps in PM2.5 estimates induced by satellite data using imputed high-resolution aerosol data. Compared to previous hindcast studies, our method achieved superior overall cross-validation (CV) R2 and root-mean-square error (RMSE) of 0.90 and 12.94 μg/m3 and significantly improved the model performance in years without PM2.5 measurements, raising the leave-one-year-out CV R2 [RMSE] to 0.83 [12.10 μg/m3] at a monthly scale (0.65 [23.29 μg/m3] at a daily scale). Our long-term PM2.5 estimates show a sharp decline in PM2.5 exposure in recent years, but the national exposure level in 2020 still exceeded the first annual interim target of the 2021 World Health Organization air quality guidelines. The proposed hindcast framework represents a new strategy to improve air quality hindcast modeling and can be applied to other regions with limited air quality monitoring periods. These high-quality estimates can support both long- and short-term scientific research and environmental management of PM2.5 in China. © 2023 Elsevier Ltd",Journal of Environmental Management,10.1016/j.jenvman.2023.118145,6,6,Yes,RF,,Yes,"China,United States",,PM25,,,,,,,,,,,,,,,,,,,,,,,,
1013,2-s2.0-85148875345,Scopus,2023,Article,Islam A.R.M.T.; Al Awadh M.; Mallick J.; Pal S.C.; Chakraborty R.; Fattah M.A.; Ghose B.; Kakoli M.K.A.; Islam M.A.; Naqvi H.R.; Bilal M.; Elbeltagi A.,"Department of Disaster Management, Begum Rokeya University, Rangpur, Rangpur, 5400, Bangladesh; Department of Industrial Engineering, College of Engineering, King Khalid University, Abha, 61421, Saudi Arabia; Department of Civil Engineering, King Khalid University, Abha, Saudi Arabia; Department of Geography, The University of Burdwan, West Bengal, Bardhaman, 713104, India; Department of Urban and Regional Planning, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Geography, Faculty of Natural Sciences, Jamia Millia Islamia (A Central University), New Delhi, 110025, India; School of Surveying and Land Information Engineering, Henan Polytechnic University, Jiaozuo, 45003, China; Agricultural Engineering Dept., Faculty of Agriculture, Mansoura University, Mansoura, 35516, Egypt","Estimating ground-level PM2.5 using subset regression model and machine learning algorithms in Asian megacity, Dhaka, Bangladesh",Air quality management; Machine learning; Meteorological factors; PM<sub>2.5</sub> dynamics; Subset regression model,"Fine particulate matter (PM2.5) has become a prominent pollutant due to rapid economic development, urbanization, industrialization, and transport activities, which has serious adverse effects on human health and the environment. Many studies have employed traditional statistical models and remote-sensing technologies to estimate PM2.5 concentrations. However, statistical models have shown inconsistency in PM2.5 concentration predictions, while machine learning algorithms have excellent predictive capacity, but little research has been done on the complementary advantages of diverse approaches. The present study proposed the best subset regression model and machine learning approaches, including random tree, additive regression, reduced error pruning tree, and random subspace, to estimate the ground-level PM2.5 concentrations over Dhaka. This study used advanced machine learning algorithms to measure the effects of meteorological factors and air pollutants (NOX, SO2, CO, and O3) on the dynamics of PM2.5 in Dhaka from 2012 to 2020. Results showed that the best subset regression model was well-performed for forecasting PM2.5 concentrations for all sites based on the integration of precipitation, relative humidity, temperature, wind speed, SO2, NOX, and O3. Precipitation, relative humidity, and temperature have negative correlations with PM2.5. The concentration levels of pollutants are much higher at the beginning and end of the year. Random subspace is the optimal model for estimating PM2.5 because it has the least statistical error metrics compared to other models. This study suggests ensemble learning models to estimate PM2.5 concentrations. This study will help quantify ground-level PM2.5 concentration exposure and recommend regional government actions to prevent and regulate PM2.5 air pollution. © 2023, The Author(s), under exclusive licence to Springer Nature B.V.","Air Quality, Atmosphere and Health",10.1007/s11869-023-01329-w,6,6,Yes,"RT,ADR,RSS,REPT",,No,"Bangladesh,Saudi Arabia,India,China,Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,
1030,2-s2.0-85151558115,Scopus,2023,Article,Yan X.; Zuo C.; Li Z.; Chen H.W.; Jiang Y.; He B.; Liu H.; Chen J.; Shi W.,"State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing, 100875, China; Department of Atmospheric and Oceanic Science and ESSIC, University of Maryland, College Park, 20740, MD, United States; Department of Physical Geography and Ecosystem Science, Lund University, Lund, Sweden; Department of Space, Earth and Environment, Chalmers University of Technology, Gothenburg, 41296, Sweden; College of Global Change and Earth System Science, Beijing Normal University, Beijing, 100875, China; Satellite Environment Center, Ministry of Environmental Protection, Beijing, 100094, China; Department of Land Surveying and Geo-Informatics, The Hong Kong Polytechnic University, Hong Kong, China",Cooperative simultaneous inversion of satellite-based real-time PM2.5 and ozone levels using an improved deep learning model with attention mechanism,Deep learning model; Ozone; PM<sub>2.5</sub>; Real-time; Satellite,"Ground-level fine particulate matter (PM2.5) and ozone (O3) are air pollutants that can pose severe health risks. Surface PM2.5 and O3 concentrations can be monitored from satellites, but most retrieval methods retrieve PM2.5 or O3 separately and disregard the shared information between the two air pollutants, for example due to common emission sources. Using surface observations across China spanning 2014–2021, we found a strong relationship between PM2.5 and O3 with distinct spatiotemporal characteristics. Thus, in this study, we propose a new deep learning model called the Simultaneous Ozone and PM2.5 inversion deep neural Network (SOPiNet), which allows for daily real-time monitoring and full coverage of PM2.5 and O3 simultaneously at a spatial resolution of 5 km. SOPiNet employs the multi-head attention mechanism to better capture the temporal variations in PM2.5 and O3 based on previous days’ conditions. Applying SOPiNet to MODIS data over China in 2022, using 2019–2021 to construct the network, we found that simultaneous retrievals of PM2.5 and O3 improved the performance compared with retrieving them independently: the temporal R2 increased from 0.66 to 0.72 for PM2.5, and from 0.79 to 0.82 for O3. The results suggest that near-real time satellite-based air quality monitoring can be improved by simultaneous retrieval of different but related pollutants. The codes of SOPiNet and its user guide are freely available online at https://github.com/RegiusQuant/ESIDLM. © 2023 The Authors",Environmental Pollution,10.1016/j.envpol.2023.121509,6,6,Yes,DNN,,Yes,"China,United States,Sweden",,,"PM25,O3",,,,,,,,,,,,,,,,,,,,,,,
1077,2-s2.0-85149634002,Scopus,2023,Article,Li T.; Zhang Q.; Peng Y.; Guan X.; Li L.; Mu J.; Wang X.; Yin X.; Wang Q.,"Big Data Research Center for Ecology and Environment, Environment Research Institute, Shandong University, Qingdao, 266003, China; Shandong Academy for Environmental Planning, Jinan, 250101, China; Zibo Ecological Environment Monitoring Center of Shandong Province, Zibo, 255040, China",Contributions of various driving factors to air pollution events: Interpretability analysis from Machine learning perspective,Air pollution; Machine learning; PDP; Permutation importance; PM<sub>2.5</sub>; SHAP,"The air quality in China has been improved substantially, however fine particulate matter (PM2.5) still remain at a high level in many areas. PM2.5 pollution is a complex process that is attributed to gaseous precursors, chemical, and meteorological factors. Quantifying the contribution of each variable to air pollution can facilitate the formulation of effective policies to precisely eliminate air pollution. In this study, we first used decision plot to map out the decision process of the Random Forest (RF) model for a single hourly data set and constructed a framework for analyzing the causes of air pollution using multiple interpretable methods. Permutation importance was used to qualitatively analyze the effect of each variable on PM2.5 concentrations. The sensitivity of secondary inorganic aerosols (SIA): SO42-, NO3- and NH4+ to PM2.5 was verified by Partial dependence plot (PDP). Shapley Additive Explanation (Shapley) was used to quantify the contribution of drivers behind the ten air pollution events. The RF model can accurately predict PM2.5 concentrations, with determination coefficient (R2) of 0.94, root mean square error (RMSE) and mean absolute error (MAE) of 9.4 μg/m3 and 5.7 μg/m3, respectively. This study revealed that the order of sensitivity of SIA to PM2.5 was NH4+＞NO3-＞SO42-. Fossil fuel and biomass combustion may be contributing factors to air pollution events in Zibo in 2021 autumn–winter. NH4+ contributed 19.9–65.4 μg/m3 among ten air pollution events (APs). K, NO3-, EC and OC were the other main drivers, contributing 8.7 ± 2.7 μg/m3, 6.8 ± 7.5 μg/m3, 3.6 ± 5.8 μg/m3 and 2.5 ± 2.0 μg/m3, respectively. Lower temperature and higher humidity were vital factors that promoted the formation of NO3-. Our study may provide a methodological framework for precise air pollution management. © 2023 The Author(s)",Environment International,10.1016/j.envint.2023.107861,6,6,Yes,"RF,SHAP",,No,China,,analysis,PM25,,,,,,,,,,,,,,,,,,,,,,,
1084,2-s2.0-85146447520,Scopus,2023,Article,Wu C.-L.; He H.-D.; Song R.-F.; Zhu X.-H.; Peng Z.-R.; Fu Q.-Y.; Pan J.,"Center for ITS and UAV Applications Research, State Key Laboratory of Ocean Engineering, School of Naval Architecture, Ocean and Civil Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; Department of Civil and Environmental Engineering, Northeastern University, 360 Huntington Ave., Boston, 02115, MA, United States; International Center for Adaptation Planning and Design, College of Design, Construction and Planning, University of Florida, PO Box 115706, Gainesville, 32611-5706, FL, United States; Shanghai Environmental Monitoring Center, Shanghai, 200235, China",A hybrid deep learning model for regional O3 and NO2 concentrations prediction based on spatiotemporal dependencies in air quality monitoring network,Air quality monitoring network; Deep learning; Reginal prediction; Spatiotemporal dependencies,"Short-term prediction of urban air quality is critical to pollution management and public health. However, existing studies have failed to make full use of the spatiotemporal correlations or topological relationships among air quality monitoring networks (AQMN), and hence exhibit low precision in regional prediction tasks. With this consideration, we proposed a novel deep learning-based hybrid model of Res-GCN-BiLSTM combining the residual neural network (ResNet), graph convolutional network (GCN), and bidirectional long short-term memory (BiLSTM), for predicting short-term regional NO2 and O3 concentrations. Auto-correlation analysis and cluster analysis were first utilized to reveal the inherent temporal and spatial properties respectively. They demonstrated that there existed temporal daily periodicity and spatial similarity in AQMN. Then the identified spatiotemporal properties were sufficiently leveraged, and monitoring network topological information, as well as auxiliary pollutants and meteorology were also adaptively integrated into the model. The hourly observed data from 51 air quality monitoring stations and meteorological data in Shanghai were employed to evaluate it. Results show that the Res-GCN-BiLSTM model was better adapted to the pollutant characteristics and improved the prediction accuracy, with nearly 11% and 17% improvements in mean absolute error for NO2 and O3, respectively compared to the best performing baseline model. Among the three types of monitoring stations, traffic monitoring stations performed the best for O3, but the worst for NO2, mainly due to the impacts of intensive traffic emissions and the titration reaction. These findings illustrate that the hybrid architecture is more suitable for regional pollutant concentration. © 2023 Elsevier Ltd",Environmental Pollution,10.1016/j.envpol.2023.121075,6,6,Yes,"RESNN,GCN,LSTM",,Yes,"China,United States",prediction,"NO2,O3",,,,,,,,,,,,,,,,,,,,,,,,
1090,2-s2.0-85149033087,Scopus,2023,Article,Rakholia R.; Le Q.; Quoc Ho B.; Vu K.; Simon Carbajo R.,"Ireland's National Centre for Applied Artificial Intelligence (CeADAR), University College Dublin, NexusUCD, Belfield Office Park, Dublin, Ireland; Institute for Environment and Resources (IER), Ho Chi Minh City, 700000, Viet Nam; Department of Science and Technology, Vietnam National University, Ho Chi Minh City, 700000, Viet Nam","Multi-output machine learning model for regional air pollution forecasting in Ho Chi Minh City, Vietnam",Air quality forecasting; CO; HO Chi Minh City; Multi-output machine learning model; N-BEATS; NO<sub>2</sub>; O<sub>3</sub>; SO<sub>2</sub>; Vietnam,"Air pollution concentrations in Ho Chi Minh City (HCMC) have been found to surpass the WHO standard, which has become a very serious problem affecting human health and the ecosystem. Various machine learning algorithms have recently been widely used in air quality forecasting studies to predict possible impacts. Training and constructing several machine learning models for different air pollutants, such as NO2, SO2, O3, and CO forecasts, is a time-consuming process that necessitates additional effort for deployment, maintenance, and monitoring. In this paper, an effort has been made to develop a multi-step multi-output multivariate model (a global model) for air quality forecasting, taking into account various parameters such as meteorological conditions, air quality data from urban traffic, residential, and industrial areas, urban space information, and time component for the prediction of NO2, SO2, O3, CO hourly (1 h to 24 h) concentrations. The global forecasting model can anticipate multiple air pollutant concentrations concurrently, based on past concentrations of covariate characteristics. The datasets on air pollution time series were gathered from six HealthyAir air quality monitoring sites in HCMC between February 2021 and August 2022. Darksky weather provided the hourly concentrations of meteorological conditions for the same period. This is the first model built using real-time air quality data for NO2, SO2, CO, and O3 forecasting in HCM city. To assess the effectiveness of the proposed model, it was evaluated using real data from HealthyAir stations and quantified using Root Mean Squared Error (RMSE), Mean Absolute Percentage Error (MAPE), and correlation indices. The results show that the global air quality forecasting model beats earlier models built for air quality forecasting of each specific pollutant in HCMC. © 2023",Environment International,10.1016/j.envint.2023.107848,6,6,Yes,DNN,,Yes,"Ireland,Viet Nam",,"NO2,SO2,O3,CO",,,,,,,,,,,,,,,,,,,,,,,,
1098,2-s2.0-85140212202,Scopus,2023,Article,Yang Q.; Yuan Q.; Gao M.; Li T.,"School of Geodesy and Geomatics, Wuhan University, Hubei, Wuhan, 430079, China; Key Laboratory of Geospace Environment and Geodesy, Ministry of Education, Wuhan University, Hubei, Wuhan, 430079, China; Department of Geography, Hong Kong Baptist University, 999077, Hong Kong; School of Geospatial Engineering and Science, Sun Yat-Sen University, Zhuhai, Guangzhou, 519082, China",A new perspective to satellite-based retrieval of ground-level air pollution: Simultaneous estimation of multiple pollutants based on physics-informed multi-task learning,Air pollutants; Deep learning; Joint retrieval; Multi-task learning; Physics-informed machine learning,"Remote sensing of air pollution is essential for air quality management and health risk assessment. Many machine-learning-based retrieval models have been established for estimating various kinds of air pollutants. These methods mainly aimed to estimate a single pollutant (single-pollutant approach). However, different air pollutants interact with each other and are highly correlated. Building a unified model and conducting a joint retrieval of multiple pollutant can make a better use of these connections and improve the model efficiency. This study proposed a physics-informed multi-task deep neural network (phyMTDNN) for the joint retrieval of six main air pollutants, i.e., PM2.5, PM10, SO2, NO2, CO, and O3. The relationships among these pollutants were used to design the physics-informed network structure and loss function. Top-of-atmosphere reflectance which can generate retrieval results at ultrahigh resolution was used as model input. Experiments for mainland China in 2019 showed that the proposed model successfully achieved simultaneous estimation of six air pollutants, with the cross-validated R2 for the six pollutants varying from 0.72 to 0.90. The contrast experiments proved that physics-informed network structure contributed to the most of the model performance improvement. Compared to the single-pollutant approach, phyMTDNN ameliorated the model accuracy on traces gases retrieval. Furthermore, the modeling efficiency was largely improved in that a lot of repetitive work was avoided and modeling method was optimized. The proposed new multiple-pollutant retrieval frame can be applied to various fields for multi-variate retrieval or estimation. © 2022",Science of the Total Environment,10.1016/j.scitotenv.2022.159542,6,6,Yes,DNN,,Yes,"China,Hong Kong",estimation,"PM2.5, PM10, SO2, NO2, CO, O3",,,,,,,,,,,,,,,,,,,,,,,,
1123,2-s2.0-85151633844,Scopus,2023,Article,Esager M.W.M.; Ünlü K.D.,"Graduate School of Natural and Applied Sciences, Atilim University, Ankara, 06830, Turkey; Department of Industrial Engineering, Atilim University, Ankara, 06830, Turkey",Forecasting Air Quality in Tripoli: An Evaluation of Deep Learning Models for Hourly PM2.5 Surface Mass Concentrations,air pollution; deep learning modeling Libya; neural network modeling; particulate matter; time series analysis,"In this article, we aimed to study the forecasting of hourly PM2.5 surface mass concentrations in the city of Tripoli, Libya. We employed three state-of-the-art deep learning models, namely long short-term memory, gated recurrent unit, and convolutional neural networks, to forecast PM2.5 levels using univariate time series methodology. Our results revealed that the convolutional neural networks model performed the best, with a coefficient of variation of 99% and a mean absolute percentage error of 0.04. These findings provide valuable insights into the use of deep learning models for forecasting PM2.5 and can inform decision-making regarding air quality management in the city of Tripoli. © 2023 by the authors.",Atmosphere,10.3390/atmos14030478,6,6,Yes,"LSTM,CNN,GRU",,No,Turkey,forecast,PM25,,,,,,,,,,,,,,,,,,,,,,,,
1152,2-s2.0-85145684415,Scopus,2023,Article,Xiong K.; Xie X.; Mao J.; Wang K.; Huang L.; Li J.; Hu J.,"Jiangsu Key Laboratory of Atmospheric Environment Monitoring and Pollution Control, Collaborative Innovation Center of Atmospheric Environment and Equipment Technology, Nanjing University of Information Science & Technology, Nanjing, 210044, China","Improving the accuracy of O3 prediction from a chemical transport model with a random forest model in the Yangtze River Delta region, China",CMAQ; O<sub>3</sub> bias; Random forest; Yangtze River Delta,"Due to inherent errors in the chemical transport models, inaccuracies in the input data, and simplified chemical mechanisms, ozone (O3) predictions are often biased from observations. Accurate O3 predictions can better help assess its impacts on public health and facilitate the development of effective prevention and control measures. In this study, we used a random forest (RF) model to construct a bias-correction model to correct the bias in the predictions of hourly O3 (O3-1h), daily maximum 8-h O3 (O3-Max8h), and daily maximum 1-h O3 (O3-Max1h) concentrations from the Community Multi-Scale Air Quality (CMAQ) model in the Yangtze River Delta region. The results show that the RF model successfully captures the nonlinear response relationship between O3 and its influence factors, and has an outstanding performance in correcting the bias of O3 predictions. The normalized mean biases (NMBs) of O3-1h, O3-Max8h, and O3-Max1h decrease from 15.8%, 20.0%, and 17.0.% to 0.5%, −0.8%, and 0.1%, respectively; correlation coefficients increase from 0.78, 0.90, and 0.89 to 0.94, 0.95, and 0.94, respectively. For O3-1h and O3-Max8h, the original CMAQ model shows an obvious bias in the central and southern Zhejiang region, while the RF model decreases the NMB values from 54% to −1% and 34% to −4%, respectively. The O3-1h bias is mainly caused by the bias of nitrogen dioxide (NO2). Relative humidity and temperature are also important factors that lead to the bias of O3. For high O3 concentrations, the temperature bias and O3 observations are the major reasons for the discrepancy between the model and the observations. © 2022 Elsevier Ltd",Environmental Pollution,10.1016/j.envpol.2022.120926,6,6,Yes,RF,,No,China,prediction,O3,,,,,,,,,,,,,,,,,,,,,,,,
